model,batch_size,device,eager_latency_ms,compiled_latency_ms,speedup,timestamp
mobilenet_quantized_width0.25_num_classes1000,1,cuda,36.36234230041504,37.85780227661133,0.96049797171876,2025-06-25T23:59:42.848518
mobilenet_quantized_width0.5_num_classes1000,1,cuda,36.400271301269534,37.48879367828369,0.9709640596505854,2025-06-25T23:59:57.995532
mobilenet_quantized_width1.0_num_classes1000,1,cuda,36.92912643432617,38.264145851135254,0.965110434661134,2025-06-26T00:00:13.977329
mobilenet_quantized_width1.4_num_classes1000,1,cuda,36.019712104797364,37.883105430603024,0.9508120228100319,2025-06-26T00:00:29.608055
mobilenet_quantized_width1.0_shallow_num_classes1000,1,cuda,23.10333438873291,23.988695125579834,0.9630925845606818,2025-06-26T00:00:39.067944
mobilenet_quantized_width1.0_num_classes1000,1,cuda,37.69929714202881,38.45126152038574,0.9804437007103587,2025-06-26T00:00:54.279874
mobilenet_quantized_width0.25_num_classes1000,4,cuda,36.37361656188965,37.922590560913086,0.9591543199946901,2025-06-26T00:09:25.137654
mobilenet_quantized_width0.5_num_classes1000,4,cuda,42.08242656707764,37.54723335266113,1.1207863485391816,2025-06-26T00:09:40.607033
mobilenet_quantized_width1.0_num_classes1000,4,cuda,38.155489387512205,37.728276596069335,1.0113234112444822,2025-06-26T00:09:56.479138
mobilenet_quantized_width1.4_num_classes1000,4,cuda,36.57130996704102,38.19685905456543,0.9574428597596922,2025-06-26T00:10:11.488569
mobilenet_quantized_width1.0_shallow_num_classes1000,4,cuda,23.43200773239136,23.740928077697752,0.9869878572440227,2025-06-26T00:10:21.142942
mobilenet_quantized_width1.0_num_classes1000,4,cuda,36.0106803894043,37.47006492614746,0.9610519880438007,2025-06-26T00:10:35.931528
mobilenet_quantized_width0.25_num_classes1000,8,cuda,36.59464698791504,38.351943817138675,0.9541797193487144,2025-06-26T00:15:27.833272
mobilenet_quantized_width0.5_num_classes1000,8,cuda,37.08949501037598,39.647692909240725,0.9354767525888371,2025-06-26T00:15:43.134639
mobilenet_quantized_width1.0_num_classes1000,8,cuda,37.23200527191162,37.88024833679199,0.9828870428958948,2025-06-26T00:15:58.934229
mobilenet_quantized_width1.4_num_classes1000,8,cuda,39.577302856445314,39.602841796875,0.9993551235398542,2025-06-26T00:16:15.035471
mobilenet_quantized_width1.0_shallow_num_classes1000,8,cuda,25.09148157119751,24.368424911499023,1.0296718668656049,2025-06-26T00:16:24.864727
mobilenet_quantized_width1.0_num_classes1000,8,cuda,37.10109672546387,38.35255798339844,0.9673695491581998,2025-06-26T00:16:40.051507
mobilenet_quantized_width0.25_num_classes1000,16,cuda,35.63001846313477,37.376829376220705,0.9532648717871917,2025-06-26T00:21:42.298662
mobilenet_quantized_width0.5_num_classes1000,16,cuda,37.80781047821045,37.53716732025146,1.0072100048373382,2025-06-26T00:21:57.267284
mobilenet_quantized_width1.0_num_classes1000,16,cuda,40.64990207672119,39.08545528411865,1.040026316214825,2025-06-26T00:22:13.556726
mobilenet_quantized_width1.4_num_classes1000,16,cuda,48.77920253753662,43.43353355407715,1.1230769994065488,2025-06-26T00:22:32.395618
mobilenet_quantized_width1.0_shallow_num_classes1000,16,cuda,28.28395523071289,26.079805393218994,1.0845155784048526,2025-06-26T00:22:43.419201
mobilenet_quantized_width1.0_num_classes1000,16,cuda,41.239941101074216,39.57417995452881,1.042092120378979,2025-06-26T00:22:59.780150
