model,batch_size,device,eager_latency_ms,compiled_latency_ms,speedup,timestamp
resnet_quantized_float_bn_depth18,1,cuda,10.051031045913696,14.747883472442627,0.6815236277595152,2025-06-30T15:41:54.677025
resnet_quantized_float_bn_depth34,1,cuda,17.651926975250245,25.891010494232177,0.6817782171608412,2025-06-30T15:42:04.071093
resnet_quantized_float_bn_depth50,1,cuda,25.58085105895996,34.61850112915039,0.7389358355962932,2025-06-30T15:42:20.257259
resnet_quantized_float_bn_depth101,1,cuda,50.113535995483396,67.84258071899414,0.73867378664522,2025-06-30T15:42:44.309755
resnet_quantized_float_bn_depth152,1,cuda,73.57503486633301,99.81604873657227,0.7371062649505116,2025-06-30T15:43:19.694259
resnet_quantized_float_bn_depth18,4,cuda,10.203668489456177,13.585500144958496,0.7510705075692559,2025-06-30T15:48:43.500066
resnet_quantized_float_bn_depth34,4,cuda,17.8399538230896,23.710761032104493,0.7523990393616726,2025-06-30T15:48:52.011444
resnet_quantized_float_bn_depth50,4,cuda,25.60912395477295,33.814395065307615,0.757343844398595,2025-06-30T15:49:04.971275
resnet_quantized_float_bn_depth101,4,cuda,48.56822780609131,64.3651887512207,0.7545729104254386,2025-06-30T15:49:28.161401
resnet_quantized_float_bn_depth152,4,cuda,72.40437744140625,95.26975524902343,0.7599933184687009,2025-06-30T15:50:02.317746
resnet_quantized_float_bn_depth18,8,cuda,10.103296003341676,13.231728677749635,0.7635658385537556,2025-06-30T15:55:14.977684
resnet_quantized_float_bn_depth34,8,cuda,17.57136896133423,23.36846845626831,0.7519264257397631,2025-06-30T15:55:23.339526
resnet_quantized_float_bn_depth50,8,cuda,26.097285270690918,33.698478088378906,0.7744351303417083,2025-06-30T15:55:35.500860
resnet_quantized_float_bn_depth101,8,cuda,50.12023292541504,65.15808265686036,0.7692097569746089,2025-06-30T15:55:58.973037
resnet_quantized_float_bn_depth152,8,cuda,72.4339609527588,96.00547828674317,0.7544773719726448,2025-06-30T15:56:33.289658
resnet_quantized_float_bn_depth18,16,cuda,10.344171514511109,13.316372470855713,0.776801004714341,2025-06-30T16:01:54.492244
resnet_quantized_float_bn_depth34,16,cuda,17.82173698425293,23.355494499206543,0.7630639969904465,2025-06-30T16:02:02.909147
resnet_quantized_float_bn_depth50,16,cuda,31.013734397888182,33.79299335479736,0.9177563547647482,2025-06-30T16:02:16.118908
resnet_quantized_float_bn_depth101,16,cuda,54.43104766845703,64.84773880004883,0.8393669336149011,2025-06-30T16:02:40.418085
resnet_quantized_float_bn_depth152,16,cuda,78.54147575378418,96.16120849609375,0.8167688091916471,2025-06-30T16:03:15.926543
