model,batch_size,hardware,graph_compiler,backend,latency_ms
resnet50,1,NVIDIA_L40S,Eager,N/A,2.3775538635253906
resnet50,1,NVIDIA_L40S,TorchScript,Trace,1.7878630065917969
resnet50,1,NVIDIA_L40S,TorchScript,Script,1.7891635131835937
resnet50,1,NVIDIA_L40S,Dynamo,Inductor,1.7538035583496094
resnet50,1,NVIDIA_L40S,TensorRT,TensorRT,3.1019497680664063
densenet121,1,NVIDIA_L40S,Eager,N/A,6.314874877929688
densenet121,1,NVIDIA_L40S,TorchScript,Script,3.7279937744140623
densenet121,1,NVIDIA_L40S,Dynamo,Inductor,4.116725769042969
densenet121,1,NVIDIA_L40S,TensorRT,TensorRT,6.409069213867188
efficientnet_b0,1,NVIDIA_L40S,Eager,N/A,3.571805114746094
efficientnet_b0,1,NVIDIA_L40S,TorchScript,Trace,2.1783261108398437
efficientnet_b0,1,NVIDIA_L40S,TorchScript,Script,2.232023010253906
efficientnet_b0,1,NVIDIA_L40S,Dynamo,Inductor,2.0443443298339843
efficientnet_b0,1,NVIDIA_L40S,TensorRT,TensorRT,1.7451676940917968
mobilenet_v2,1,NVIDIA_L40S,Eager,N/A,2.3297433471679687
mobilenet_v2,1,NVIDIA_L40S,TorchScript,Trace,1.397452850341797
mobilenet_v2,1,NVIDIA_L40S,TorchScript,Script,1.4205850219726563
mobilenet_v2,1,NVIDIA_L40S,Dynamo,Inductor,1.2501004791259767
mobilenet_v2,1,NVIDIA_L40S,TensorRT,TensorRT,1.2261203002929688 
