Model,Batch_Size,Eager_Latency,Compiled_Latency,Performance_Ratio,Precision
resnet50,1,2.369489288330078,1.4695552062988282,1.6123853518220614,FP32
resnet50,2,2.4334454345703125,1.30782470703125,1.860681650596899,FP32
resnet50,4,2.2748585510253907,1.3947474670410156,1.63101823432707,FP32
resnet50,8,2.538777313232422,2.1075039672851563,1.2046370268535356,FP32
resnet50,16,4.657308044433594,3.834365234375,1.2146229583663366,FP32
resnet50,32,12.15309814453125,8.753535766601562,1.388364481344836,FP32
bert-base-uncased,1,5.14893798828125,4.934072875976563,1.0435472109361903,FP32
bert-base-uncased,2,9.109586791992188,8.75470947265625,1.0405355906377398,FP32
bert-base-uncased,4,17.205667724609373,16.996356201171874,1.0123150821835016,FP32
vit,1,2.96521240234375,2.6919189453125,1.1015236575035596,FP32
vit,2,4.1354153442382815,3.765682983398437,1.098184675255422,FP32
vit,4,7.309340209960937,6.405836181640625,1.141043886028461,FP32
vit,8,12.785712890625,13.03083740234375,0.9811888903107132,FP32
vit,16,23.35037841796875,24.510302734375,0.9526760510069306,FP32
lstm,1,21.25763916015625,21.301181640625,0.9979558654912501,FP32
lstm,2,22.27504150390625,22.28213623046875,0.9996815957640185,FP32
lstm,4,22.2636767578125,22.26967041015625,0.9997308603031225,FP32
lstm,8,20.915244140625,20.9389794921875,0.9988664513678255,FP32
lstm,16,20.88263916015625,21.08740966796875,0.9902894423242726,FP32
lstm,32,22.7117626953125,22.50394775390625,1.0092345993546923,FP32
align,1,15.265914306640624,8.14360595703125,1.8745890195558788,FP32
align,2,15.6426318359375,7.769057006835937,2.0134530898889866,FP32
align,4,16.09082763671875,7.961023559570313,2.0212008564370123,FP32
align,8,16.470743408203123,13.14355224609375,1.2531424610191062,FP32
align,16,29.9640625,23.18269775390625,1.2925183608085948,FP32
align,32,65.6547412109375,64.269189453125,1.021558569037549,FP32
