Model,Batch_Size,Eager_Latency,Compiled_Latency,Performance_Ratio,Precision
resnet18,1,0.7855443572998047,0.5653664016723633,1.3894429435073454,INT8
resnet18,4,0.767357406616211,0.5210921478271484,1.472594453430051,INT8
resnet18,8,0.9338127899169922,0.7979769897460938,1.170225209393719,INT8
resnet18,16,1.4026573181152344,1.1477852630615235,1.2220555214081446,INT8
resnet50,1,1.947139587402344,1.1675279998779298,1.6677455166864745,INT8
resnet50,4,1.8554719543457032,1.332008056640625,1.3929885371904387,INT8
resnet50,8,2.37328125,1.9336962890625,1.227328853772906,INT8
resnet50,16,4.4468408203125,3.3318658447265626,1.3346398167112998,INT8
bert-base-uncased,1,4.957031860351562,4.572960815429688,1.0839873903196315,INT8
bert-base-uncased,4,16.8570703125,17.154296875,0.9826733462370488,INT8
bert-base-uncased,8,30.02829833984375,30.7432958984375,0.9767429763888755,INT8
bert-base-uncased,16,58.7002978515625,64.116796875,0.9155213721297193,INT8
vit,1,2.8587506103515623,2.6107363891601563,1.094997803003462,INT8
vit,4,7.0017327880859375,6.267921752929688,1.117074058050144,INT8
vit,8,12.365087890625,13.2695068359375,0.9318423091005098,INT8
vit,16,23.859716796875,26.06791259765625,0.9152906550338906,INT8
